popularity,vote_average,year
1.28,4.9,1988.07087
3.46,5.4,1997.09082
6.09,5.7,2000.1013
9.12,6.0,2003.0518
12.92,6.2,2005.1003
17.74,6.5,2007.12276
24.01,6.7,2010.01059
33.55,7.0,2012.0312
48.83,7.3,2014.05159
